ADM0_NAME,ADM0_PCODE,ADM1_NAME,ADM1_PCODE,F_TL,M_TL,T_TL,F_00_04,F_05_09,F_10_14,F_15_19,F_20_24,F_25_29,F_30_34,F_35_39,F_40_44,F_45_49,F_50_54,F_55_59,F_60_64,F_65_69,F_70_74,F_75_79,F_80Plus,M_00_04,M_05_09,M_10_14,M_15_19,M_20_24,M_25_29,M_30_34,M_35_39,M_40_44,M_45_49,M_50_54,M_55_59,M_60_64,M_65_69,M_70_74,M_75_79,M_80Plus,T_00_04,T_05_09,T_10_14,T_15_19,T_20_24,T_25_29,T_30_34,T_35_39,T_40_44,T_45_49,T_50_54,T_55_59,T_60_64,T_65_69,T_70_74,T_75_79,T_80Plus
NIGERIA,NG,ABIA,NG001,1937239,1941738,3878977,210483,215867,248705,235360,175331,141231,124752,118724,97191,89290,68647,66458,45452,42233,27155,18965,11395,218758,224631,252614,244697,197853,147846,119759,104223,96942,86562,66047,60055,38619,36743,21766,16548,8075,429241,440498,501319,480057,373184,289077,244511,222947,194133,175852,134694,126513,84071,78976,48921,35513,19470
NIGERIA,NG,ADAMAWA,NG002,2168252,2228347,4396599,372760,320576,273011,233204,190216,155723,131631,105703,93150,67345,59734,45221,39961,29740,26280,14250,9747,391921,331150,277805,238530,190232,160292,138807,119876,95845,76036,56748,48899,32936,28317,20135,13404,7414,764681,651726,550816,471734,380448,316015,270438,225579,188995,143381,116482,94120,72897,58057,46415,27654,17161
NIGERIA,NG,AKWA IBOM,NG003,2789212,2876552,5665764,326260,342223,353787,329383,246884,207987,184349,180667,144644,130441,94389,82954,63215,52546,26086,15922,7475,345584,364957,371722,355275,285723,216091,174848,159735,143522,125640,96021,77876,61936,46240,27453,16233,7696,671844,707180,725509,684658,532607,424078,359197,340402,288166,256081,190410,160830,125151,98786,53539,32155,15171
NIGERIA,NG,ANAMBRA,NG004,2932876,3003908,5936784,319470,334304,379733,357447,273463,225850,193788,185580,149135,135868,95878,95605,59135,56517,32959,25634,12510,332996,352714,388676,376016,304587,232124,187703,164634,153188,134792,105401,89482,63031,53670,31439,22388,11067,652466,687018,768409,733463,578050,457974,381491,350214,302323,270660,201279,185087,122166,110187,64398,48022,23577
NIGERIA,NG,BAUCHI,NG005,3272516,3417618,6690134,639299,509011,402259,352254,285240,235858,198776,153495,133251,90278,83531,51340,51485,30115,28710,15170,12444,679500,545659,442014,362751,260764,223221,203035,168629,143572,103270,89342,57851,50345,30837,29566,15850,11412,1318799,1054670,844273,715005,546004,459079,401811,322124,276823,193548,172873,109191,101830,60952,58276,31020,23856
NIGERIA,NG,BAYELSA,NG006,1236961,1300813,2537774,150454,157800,157102,144745,109296,93373,84237,80603,62980,55671,38799,34675,24906,19395,10835,7773,4317,158035,169405,167379,160580,128084,98740,82485,72773,65964,54387,43741,31487,25781,17586,12790,7288,4308,308489,327205,324481,305325,237380,192113,166722,153376,128944,110058,82540,66162,50687,36981,23625,15061,8625
NIGERIA,NG,BENUE,NG007,2880342,2934586,5814928,514586,431588,371409,318050,248992,199610,168682,135038,120485,86544,75599,54587,57410,37257,29396,17770,13339,539300,445972,382231,330874,247899,201198,173256,146700,119001,95899,73977,53904,43804,30213,23436,16003,10919,1053886,877560,753640,648924,496891,400808,341938,281738,239486,182443,149576,108491,101214,67470,52832,33773,24258
NIGERIA,NG,BORNO,NG008,3154724,3440268,6594992,596867,492977,369247,326928,285460,230533,201616,146564,138886,84797,87266,49291,56913,28951,31809,14151,12468,644945,544939,421873,348897,270790,233981,220992,176524,160850,108578,98736,60103,60783,31453,31629,14056,11139,1241812,1037916,791120,675825,556250,464514,422608,323088,299736,193375,186002,109394,117696,60404,63438,28207,23607
NIGERIA,NG,CROSS RIVER,NG009,1942578,2015687,3958265,243102,247026,247067,228463,177638,145558,127746,120877,98133,83858,63626,48751,41139,31640,18689,12559,6706,255470,263801,260335,242320,199798,157222,125944,111965,99844,85277,65584,48000,37811,28190,17153,10955,6018,498572,510827,507402,470783,377436,302780,253690,232842,197977,169135,129210,96751,78950,59830,35842,23514,12724
NIGERIA,NG,DELTA,NG010,2899761,2927965,5827726,352059,347139,365330,333023,263756,214716,186714,178217,142570,132157,95005,96062,59273,55830,35088,27040,15782,367102,363425,373194,353940,297603,227942,182870,163400,139733,123629,92496,82655,52325,47402,27695,21886,10668,719161,710564,738524,686963,561359,442658,369584,341617,282303,255786,187501,178717,111598,103232,62783,48926,26450
NIGERIA,NG,EBONYI,NG011,1523899,1459234,2983133,207890,199710,194554,179000,125519,104915,94035,90186,76152,67676,48162,42488,33954,27586,15951,9976,6145,213833,203754,197034,176671,132083,95485,79584,72338,67188,58447,46109,36235,28541,22476,13855,10238,5363,421723,403464,391588,355671,257602,200400,173619,162524,143340,126123,94271,78723,62495,50062,29806,20214,11508
NIGERIA,NG,EDO,NG012,2174346,2218724,4393070,261756,255925,267795,245304,206957,164130,137442,131252,105276,99053,71708,74956,45906,45164,27536,21281,12905,276429,267891,273219,262779,244690,191737,140876,122163,98953,91372,65990,65097,37391,36243,20266,15590,8038,538185,523816,541014,508083,451647,355867,278318,253415,204229,190425,137698,140053,83297,81407,47802,36871,20943
NIGERIA,NG,EKITI,NG013,1740362,1770590,3510952,188875,207004,230520,217058,175326,125783,105683,105824,84561,79616,54939,57642,38065,34165,16611,11695,6995,199031,218957,241674,231477,198471,134938,101395,89201,83388,72033,58322,44278,36026,27713,18326,9656,5704,387906,425961,472194,448535,373797,260721,207078,195025,167949,151649,113261,101920,74091,61878,34937,21351,12699
